Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,City,State,Region,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Revenue,Profit,Payment_Mode,Ship_Mode
ORD-12051,2023-01-01,CUST-1257,Rishi Sharma,Consumer,Guwahati,Assam,East,Clothing,Jackets,Red Tape Bomber,1,6268.62,0.0,6268.62,1778.11,Cash,Express
ORD-10447,2023-01-02,CUST-1071,Ishaan Kulkarni,Consumer,Bangalore,Karnataka,South,Electronics,Laptops,Acer Aspire 5,1,126146.62,0.0,126146.62,13555.46,Credit Card,Express
ORD-10257,2023-01-02,CUST-1308,Arjun Yadav,Consumer,Mumbai,Maharashtra,West,Office Supplies,Ink & Toner,Brother BT-D60BK,2,1172.39,0.15,1993.06,362.96,Credit Card,Same Day
ORD-11264,2023-01-02,CUST-1305,Tanvi Mishra,Home Office,Chennai,Tamil Nadu,South,Electronics,Tablets,OnePlus Pad Go,1,11759.96,0.2,9407.97,284.69,Credit Card,Express
ORD-10940,2023-01-02,CUST-1332,Kavya Banerjee,Consumer,Patna,Bihar,East,Office Supplies,Paper & Notebooks,Sundaram A4 Ruled,5,468.67,0.1,2109.02,1111.73,UPI,Same Day
ORD-11234,2023-01-03,CUST-1471,Tushar Kumar,Consumer,Ahmedabad,Gujarat,West,Office Supplies,Paper & Notebooks,JK Copier A4 Paper Ream,1,112.17,0.0,112.17,48.9,UPI,Standard
ORD-10489,2023-01-03,CUST-1109,Kunal Pandey,Consumer,Patna,Bihar,East,Electronics,Tablets,Apple iPad 10th Gen,1,15256.36,0.05,14493.54,1807.83,UPI,Express
ORD-11025,2023-01-03,CUST-1306,Isha Pillai,Corporate,Ahmedabad,Gujarat,West,Office Supplies,Storage & Organizers,Tupperware Store-All,3,299.0,0.13,780.39,270.28,UPI,Same Day
ORD-12160,2023-01-03,CUST-1368,Kriti Banerjee,Consumer,Mumbai,Maharashtra,West,Furniture,Desks,Wakefit Orion Study Table,1,25268.35,0.1,22741.52,1171.87,Cash,Standard
ORD-10571,2023-01-03,CUST-1156,Sneha Mishra,Consumer,Delhi,Delhi,North,Clothing,Formal Shirts,Raymond Linen Shirt,1,1730.47,0.0,1730.47,793.2,Credit Card,Standard
ORD-12474,2023-01-04,CUST-1059,Harsh Joshi,Corporate,Surat,Gujarat,West,Office Supplies,Storage & Organizers,Nilkamal Chester 24,12,1281.7,0.23,11842.91,2606.83,Debit Card,Express
ORD-11607,2023-01-04,CUST-1411,Mohit Kapoor,Corporate,Lucknow,Uttar Pradesh,North,Office Supplies,Printers,HP Smart Tank 580,8,12796.29,0.18,83943.66,7744.25,UPI,Standard
ORD-11210,2023-01-04,CUST-1088,Deepika Sinha,Consumer,Mumbai,Maharashtra,West,Food & Beverages,Health Supplements,Revital H Capsules,4,4999.0,0.2,15996.8,2609.69,UPI,Standard
ORD-10737,2023-01-05,CUST-1359,Nisha Banerjee,Consumer,Pune,Maharashtra,West,Food & Beverages,Tea & Coffee,Brooke Bond Red Label,2,250.93,0.05,476.77,165.14,UPI,Standard
ORD-10750,2023-01-05,CUST-1144,Shreya Iyer,Home Office,Mumbai,Maharashtra,West,Office Supplies,Printers,Brother DCP-T420W,1,12596.4,0.0,12596.4,691.7,UPI,Express
ORD-12093,2023-01-05,CUST-1139,Dev Menon,Home Office,Delhi,Delhi,North,Furniture,Bookshelves,Nilkamal Freedom Mini,1,8262.44,0.05,7849.32,1876.07,Debit Card,Economy
ORD-12182,2023-01-06,CUST-1440,Varun Nair,Consumer,Bangalore,Karnataka,South,Clothing,Ethnic Wear,Biba Anarkali Suit,2,12911.01,0.0,25822.02,9692.78,Net Banking,Same Day
ORD-10924,2023-01-07,CUST-1244,Diya Sharma,Consumer,Kolkata,West Bengal,East,Office Supplies,Paper & Notebooks,Navneet Long Book,4,269.5,0.1,970.2,388.34,Credit Card,Same Day
ORD-11046,2023-01-07,CUST-1591,Sakshi Tiwari,Corporate,Lucknow,Uttar Pradesh,North,Clothing,Ethnic Wear,Manyavar Kurta Set,2,9145.86,0.23,14084.62,4232.68,Debit Card,Standard
ORD-11745,2023-01-07,CUST-1539,Zara Patil,Consumer,Kolkata,West Bengal,East,Food & Beverages,Health Supplements,Revital H Capsules,8,299.0,0.0,2392.0,618.68,Credit Card,Same Day
ORD-10191,2023-01-07,CUST-1522,Lavanya Agarwal,Corporate,Mumbai,Maharashtra,West,Clothing,T-Shirts,Dennis Lingo Slim Fit,1,1850.62,0.13,1610.04,729.88,Credit Card,Standard
ORD-12451,2023-01-08,CUST-1206,Amit Nair,Consumer,Mumbai,Maharashtra,West,Clothing,Jackets,Red Tape Bomber,2,6538.54,0.1,11769.37,2844.67,Debit Card,Standard
ORD-10534,2023-01-08,CUST-1207,Yash Tiwari,Corporate,Gurugram,Haryana,North,Office Supplies,Ink & Toner,Brother BT-D60BK,1,1036.29,0.03,1005.2,203.91,UPI,Economy
